case_id,artifact_dir,normalization,pair_compile_ok,prog_a_compile_ok,prog_b_compile_ok,prog_a_normalized_path,prog_b_normalized_path,prog_a_ir_path,prog_b_ir_path,prog_a_error,prog_b_error
goeq-dce-0013,dataset/cases/goeq-dce-0013/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0013/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0013/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0013/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0013/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0014,dataset/cases/goeq-dce-0014/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0014/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0014/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0014/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0014/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0015,dataset/cases/goeq-dce-0015/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0015/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0015/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0015/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0015/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0018,dataset/cases/goeq-dce-0018/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0018/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0018/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0018/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0018/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0019,dataset/cases/goeq-dce-0019/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0019/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0019/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0019/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0019/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0026,dataset/cases/goeq-dce-0026/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0026/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0026/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0026/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0026/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0027,dataset/cases/goeq-dce-0027/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0027/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0027/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0027/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0027/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0028,dataset/cases/goeq-dce-0028/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0028/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0028/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0028/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0028/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0029,dataset/cases/goeq-dce-0029/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0029/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0029/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0029/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0029/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0036,dataset/cases/goeq-dce-0036/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0036/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0036/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0036/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0036/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0037,dataset/cases/goeq-dce-0037/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0037/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0037/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0037/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0037/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0044,dataset/cases/goeq-dce-0044/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0044/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0044/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0044/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0044/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0045,dataset/cases/goeq-dce-0045/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0045/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0045/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0045/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0045/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0046,dataset/cases/goeq-dce-0046/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0046/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0046/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0046/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0046/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0047,dataset/cases/goeq-dce-0047/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0047/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0047/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0047/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0047/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0052,dataset/cases/goeq-dce-0052/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0052/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0052/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0052/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0052/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0053,dataset/cases/goeq-dce-0053/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0053/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0053/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0053/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0053/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0054,dataset/cases/goeq-dce-0054/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0054/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0054/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0054/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0054/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0055,dataset/cases/goeq-dce-0055/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0055/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0055/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0055/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0055/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0058,dataset/cases/goeq-dce-0058/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0058/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0058/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0058/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0058/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0059,dataset/cases/goeq-dce-0059/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0059/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0059/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0059/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0059/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0060,dataset/cases/goeq-dce-0060/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0060/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0060/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0060/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0060/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0061,dataset/cases/goeq-dce-0061/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0061/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0061/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0061/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0061/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0062,dataset/cases/goeq-dce-0062/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0062/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0062/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0062/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0062/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0063,dataset/cases/goeq-dce-0063/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0063/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0063/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0063/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0063/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0064,dataset/cases/goeq-dce-0064/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0064/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0064/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0064/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0064/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0065,dataset/cases/goeq-dce-0065/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0065/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0065/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0065/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0065/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0068,dataset/cases/goeq-dce-0068/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0068/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0068/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0068/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0068/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0069,dataset/cases/goeq-dce-0069/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0069/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0069/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0069/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0069/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0070,dataset/cases/goeq-dce-0070/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0070/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0070/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0070/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0070/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0071,dataset/cases/goeq-dce-0071/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0071/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0071/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0071/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0071/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0080,dataset/cases/goeq-dce-0080/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0080/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0080/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0080/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0080/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0081,dataset/cases/goeq-dce-0081/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0081/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0081/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0081/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0081/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0084,dataset/cases/goeq-dce-0084/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0084/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0084/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0084/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0084/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0085,dataset/cases/goeq-dce-0085/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0085/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0085/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0085/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0085/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0086,dataset/cases/goeq-dce-0086/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0086/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0086/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0086/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0086/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0087,dataset/cases/goeq-dce-0087/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0087/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0087/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0087/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0087/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0088,dataset/cases/goeq-dce-0088/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0088/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0088/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0088/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0088/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0089,dataset/cases/goeq-dce-0089/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0089/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0089/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0089/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0089/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0102,dataset/cases/goeq-dce-0102/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0102/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0102/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0102/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0102/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0103,dataset/cases/goeq-dce-0103/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0103/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0103/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0103/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0103/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0110,dataset/cases/goeq-dce-0110/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0110/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0110/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0110/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0110/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
